"Wavelength"	"Intensity"	"Timepoint"
515.899	11992.63	10
580.997	2266.3	10
515.899	11182.39	11
580.997	2927.04	11
515.899	10312.37	12
580.997	3559.44	12
515.899	9486.74	13
580.997	4146.09	13
515.899	8725.7	14
580.997	4688.89	14
515.899	8053.26	15
580.997	5159.38	15
515.899	7441.93	16
580.997	5583.75	16
515.899	6929.48	17
580.997	5974.11	17
515.899	6470.09	18
580.997	6312.84	18
515.899	6053.07	19
580.997	6633.14	19
515.899	5682.16	20
580.997	6914.47	20
515.899	5343.56	21
580.997	7161.19	21
515.899	5039.07	22
580.997	7396.55	22
515.899	4774.89	23
580.997	7595.47	23
515.899	4528.71	24
580.997	7781.4	24
515.899	4289.18	25
580.997	7967.88	25
515.899	4078.03	26
580.997	8135.63	26
515.899	3896.07	27
580.997	8296.74	27
515.899	3712.89	28
580.997	8420.54	28
515.899	3558.81	29
580.997	8550.41	29
515.899	3411.83	30
580.997	8677.05	30
515.899	3266.36	31
580.997	8775.56	31
515.899	3149.92	32
580.997	8874.51	32
515.899	3023.05	33
580.997	8962.66	33
515.899	2905.64	34
580.997	9063.74	34
515.899	2812.83	35
580.997	9123.04	35
515.899	2717.3	36
580.997	9211.39	36
515.899	2622.6	37
580.997	9275.12	37
515.899	2545.46	38
580.997	9357.45	38
515.899	2456.61	39
580.997	9409.35	39
515.899	2384.17	40
580.997	9476.56	40
515.899	2313.4	41
580.997	9531.94	41
515.899	2239.8	42
580.997	9581.97	42
515.899	2181.41	43
580.997	9621.95	43
515.899	2120.71	44
580.997	9670.33	44
515.899	2074	45
580.997	9716.65	45
515.899	2020.66	46
580.997	9758.03	46
515.899	1968.01	47
580.997	9800.18	47
515.899	1918.48	48
580.997	9829.18	48
515.899	1870.19	49
580.997	9881.13	49
515.899	1824.15	50
580.997	9894.89	50
515.899	1790.65	51
580.997	9942.16	51
515.899	1743.51	52
580.997	9975.55	52
515.899	1708.28	53
580.997	10013.53	53
515.899	1686.34	54
580.997	10033.03	54
515.899	1646.95	55
580.997	10069.87	55
515.899	1609.97	56
580.997	10089.1	56
515.899	1577.42	57
580.997	10112.61	57
515.899	1542.02	58
580.997	10135.35	58
515.899	1521.59	59
580.997	10156.85	59
